trial_id,animal_id,frame,time_s,fps,coordinate_unit,nose_tip_x,nose_tip_y,nose_tip_z,nose_tip_likelihood,left_paw_tip_x,left_paw_tip_y,left_paw_tip_z,left_paw_tip_likelihood,right_paw_tip_x,right_paw_tip_y,right_paw_tip_z,right_paw_tip_likelihood,trunk_center_x,trunk_center_y,trunk_center_z,trunk_center_likelihood
sticker_demo_10s_001,simulated_mouse_001,0,0.0,30,mm,0.037657655216546265,-0.03972388165588761,62.05387714135418,0.99,-29.971352190138884,11.960516148998328,37.80877280623138,0.99,30.067983913058704,-11.834178277559332,38.39177736503931,0.99,0.18562070190474395,-0.06086857866814408,35.805294206491226,0.99
sticker_demo_10s_001,simulated_mouse_001,1,0.033333,30,mm,-0.36931716393575287,-0.16048866817322324,62.380443125451194,0.99,-29.932728831329715,11.713760652916676,37.99575148341109,0.99,29.854061908134945,-11.925070010733918,38.24378357163295,0.99,-0.04536105822032071,-0.21063039897026756,35.88774143456264,0.99
sticker_demo_10s_001,simulated_mouse_001,2,0.066667,30,mm,0.2800949965856135,0.28166047564867497,61.94363926964377,0.99,-30.038208598703996,12.100435422990195,38.244917644983644,0.99,29.988426794074492,-12.259442457281839,37.87305835765444,0.99,0.0049623452615872275,-0.027696000635569512,35.68670496712858,0.99
sticker_demo_10s_001,simulated_mouse_001,3,0.1,30,mm,-0.11523506594477313,-0.21723745551083706,61.84384766565667,0.99,-29.880797000499182,12.141682804668882,38.37776029648554,0.99,29.953383534853998,-12.211580859622186,37.955571299918766,0.99,-0.3603018397930306,-0.1870524299869734,35.79634354300952,0.99
sticker_demo_10s_001,simulated_mouse_001,4,0.133333,30,mm,-0.02922782481234658,0.125838529465875,62.08530548769417,0.99,-29.904864471257035,11.988558565531962,38.01045678066479,0.99,29.665433940984222,-11.899314908952217,38.056080821179904,0.99,0.5029436019079275,0.32496002591908385,36.37140891916647,0.99
sticker_demo_10s_001,simulated_mouse_001,5,0.166667,30,mm,-0.0660702697701563,0.09686359352818212,61.88292327739211,0.99,-29.89566702447415,11.98813242414031,38.11414086780964,0.99,30.126340515303298,-11.98381643163031,38.02867346890747,0.99,-0.0004284559052023101,-0.02484660161046526,35.63991043133873,0.99
sticker_demo_10s_001,simulated_mouse_001,6,0.2,30,mm,-0.24928045351257808,-0.1394175882764239,61.81546057906329,0.99,-29.73971097010975,11.904273799237114,38.1978317689465,0.99,30.11200597334189,-12.222339504942399,37.750541880660656,0.99,-0.28028360325363977,0.12320493821295485,36.43924726998176,0.99
sticker_demo_10s_001,simulated_mouse_001,7,0.233333,30,mm,-0.24833960792382934,0.08635623882272292,61.70518619186089,0.99,-29.970974343023823,12.002016318629805,37.608129048213264,0.99,29.971817674709964,-11.872611589857314,38.48576565668204,0.99,0.20889909551300434,-0.0398813507774043,35.946076679249764,0.99
sticker_demo_10s_001,simulated_mouse_001,8,0.266667,30,mm,-0.5284723482213106,0.20199405807876925,61.896939770358365,0.99,-29.53080136465881,12.217495208597075,37.930858272694195,0.99,29.828638453032575,-11.654333027223396,37.942900929349214,0.99,-0.0344910009395458,-0.14726049833403307,35.72027237812453,0.99
sticker_demo_10s_001,simulated_mouse_001,9,0.3,30,mm,0.2026280682481484,-0.26836200272695,61.94764043636556,0.99,-30.4586781298998,12.011837574577381,38.15768640177609,0.99,29.760872516743444,-12.309047982847641,37.87414898118177,0.99,0.11705814441197696,-0.176696906223607,35.870757922364305,0.99
